id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
12460243,Cozy Room 5min from Old Town Square,17914449,Paul,,Praha 1,50.09062,14.42637,Private room,992,2,311,2019-09-15,7.42,3,108
12461074,"Beautiful, airy room in New Town",38508932,Deirdre,,Praha 2,50.0736,14.41554,Private room,661,1,88,2019-09-07,2.13,1,0
12464359,"Great Terrace in Big, Central Flat",37031759,Nick And Jenny,,Praha 3,50.08846,14.45272,Entire home/apt,1205,2,139,2019-09-18,3.34,24,120
12484291,NEW modern apartment - 10min to the CENTRE,59422940,Adam,,Praha 2,50.06777,14.43468,Entire home/apt,1488,2,26,2019-08-23,0.63,4,27
12484815,Quiet studio near the center,61785556,Linda,,Praha 5,50.07067,14.37867,Entire home/apt,638,10,132,2019-09-15,3.18,1,29
12484905,New&New apartment in the centre,44191803,Roman,,Praha 4,50.06084,14.45011,Entire home/apt,945,2,188,2019-09-22,4.54,2,55
12484986,Friendly home 5min city centre,5463516,Zuzana,,Praha 6,50.10454,14.40205,Entire home/apt,898,2,123,2019-09-17,2.96,66,2
12489027,"Luxury City Centre Apartment, Prague",57100819,Josef,,Praha 1,50.08374,14.43086,Entire home/apt,2102,2,161,2019-09-23,3.96,1,128
12491386,Jan's Flat in the center,24476648,Jan & Jana & Boris,,Praha 3,50.08678,14.44147,Entire home/apt,1181,2,55,2019-09-06,1.32,73,121
12491795,Jana's Place by the Old Town Square,24476648,Jan & Jana & Boris,,Praha 1,50.0842,14.42009,Entire home/apt,1677,2,59,2019-09-06,1.41,73,335
12500356,Best of Prague on the palm,63741146,Jan,,Praha 6,50.10077,14.39743,Entire home/apt,425,1,1,2016-04-24,0.02,1,0
12502361,Warm romantic flat in the center,67699351,Patrizio,,Praha 2,50.06576,14.41931,Entire home/apt,1275,2,176,2019-09-06,4.20,1,328
12503420,Rooftop View & City Center,58755632,Katka & David,,Praha 1,50.07812,14.42424,Entire home/apt,1984,4,60,2019-07-29,1.45,1,281
12503887,Modern Apartment Michalska 4BDR,9550037,Alex And Tanya,,Praha 1,50.08409,14.41913,Entire home/apt,2929,2,21,2019-07-28,0.52,91,324
12505572,Euforia 2 (112 m2) -beautiful view!,10222428,Veronika,,Praha 2,50.07531,14.41481,Entire home/apt,3873,2,2,2019-03-04,0.05,23,344
12507750,Elegant balcony apartment /Sky,45287164,Luigi & Daniele,,Praha 5,50.07818,14.40258,Entire home/apt,1559,1,76,2019-09-15,2.52,4,340
12509388,Cozy retro style apartment,34479121,Tereza,,Praha 10,50.06815,14.45708,Entire home/apt,756,2,21,2018-12-31,0.52,1,0
12513552,Luxury 110SQM apt right in the centre of Prague,5565463,Regina,,Praha 5,50.08032,14.40713,Entire home/apt,6117,2,7,2017-08-05,0.18,1,0
12514814,Perfect Apt In the Heart of Prague!,35817869,Ivo,,Praha 1,50.09226,14.42666,Entire home/apt,1063,1,49,2019-07-20,1.20,5,2
12526337,One bedroom in a nice flat in Prag,46653926,Raphael,,Praha 5,50.07747,14.40775,Private room,1039,15,0,,,1,83
12528024,Amazing Charles Bridge Apartment Centrum,18151373,Bianka,,Praha 1,50.08675,14.41558,Entire home/apt,4629,2,83,2019-08-07,2.08,24,161
12534596,"Nights in Gallery - Jamaica Collages, Free Parking",10753135,Alice,,Praha 10,50.07181,14.48228,Entire home/apt,709,2,92,2019-09-09,2.31,6,333
12540018,Studio next to the botanical garden,65724647,Štěpán,,Praha 8,50.12744,14.42006,Entire home/apt,590,2,6,2017-01-03,0.15,1,0
12546841,Cozy and sunny apartment with a great view,12639808,Ester,,Praha 8,50.12901,14.44955,Private room,496,1,3,2017-07-22,0.11,1,0
12548165,Jan's Duplex by the Old Town Square,24476648,Jan & Jana & Boris,,Praha 1,50.08487,14.42024,Entire home/apt,2763,2,179,2019-09-10,4.36,73,318
12548693,Jan's place by the Dancing House,24476648,Jan & Jana & Boris,,Praha 5,50.07446,14.4089,Entire home/apt,496,2,92,2019-09-15,2.20,73,266
12550932,Triple room in hotel Otakar ***,63053344,Hotel,,Praha 4,50.06523,14.44108,Private room,3755,1,2,2017-12-25,0.05,2,151
12550983,"HOTEL PEKO ***, Prague",14510707,Ольга,,Praha 10,50.05881,14.47009,Private room,2811,1,1,2016-08-14,0.03,3,355
12552158,Modern Home 5min City Centre,5463516,Zuzana,,Praha 6,50.10163,14.39292,Entire home/apt,1016,2,148,2019-09-27,3.56,66,129
12554620,pragueforyou ❤ Sme4 ❤ 3 Bedrooms! Wenceslas Square,1167781,Prague For You,,Praha 2,50.08005,14.43396,Entire home/apt,1323,1,75,2019-08-22,1.80,107,134
12554870,The Room Less Taken,68048494,Petr,,Praha 7,50.10123,14.43409,Private room,496,50,13,2018-10-14,0.32,2,363
12555694,large room next to the river,26016564,Iva,,Praha 5,50.06522,14.40903,Private room,614,4,45,2019-09-15,1.09,7,0
12560055,Panoramatic views Prague,68084006,Lenka,,Praha 7,50.10559,14.45198,Entire home/apt,2504,2,10,2018-08-27,0.66,1,0
12564211,Friendly apartment close to metro,45237737,Gabriela,,Praha 3,50.09402,14.49414,Entire home/apt,709,1,4,2016-05-05,0.10,1,0
12564304,Malebný rodinný dům 20 minut do centra,68110891,Dana,,Praha 20,50.11037,14.59473,Entire home/apt,2102,2,20,2019-08-19,0.68,1,160
12566274,Studio with a terrace garden,68126578,Eva,,Praha 4,50.05817,14.42434,Entire home/apt,1960,1,9,2016-10-31,0.22,1,0
12576558,EUFORIA 2 - Amazing view!,3174648,Petr,,Praha 2,50.07556,14.41364,Entire home/apt,3873,3,7,2019-08-05,0.17,23,351
12577336,"Euforia 3 (122 m2)-terrace,nice view",10222428,Veronika,,Praha 1,50.08572,14.42795,Entire home/apt,4653,2,4,2019-06-02,0.10,23,360
12578710,Blueland - close subway C,68052442,Katarina,,Praha 4,50.05714,14.43744,Private room,803,2,0,,,1,0
12580030,Fully equipped sunny room near Prague city centre,68224667,Tomáš,,Praha 5,50.06195,14.3823,Private room,496,1,228,2019-09-14,5.52,3,331
12580359,Excellent acessibility to centre,32575969,Pavel,,Praha 8,50.12909,14.46826,Private room,472,2,90,2019-09-14,2.17,1,68
12583065,Labyrinth 4BDR flat by Ruterra,227945,Alex And Kate,,Praha 1,50.07873,14.42807,Entire home/apt,3873,2,195,2019-09-14,4.71,101,107
12588874,Apartment v klidné lokalitě Prahy 6,68283217,Tomáš,,Praha 6,50.09066,14.32058,Entire home/apt,898,1,15,2019-08-27,0.44,1,50
12592101,Apartment Americká 8,15683232,Vaclav,,Praha 2,50.0722,14.43857,Entire home/apt,2078,3,0,,,34,0
12592290,Apartment Truhlarska 31,15683232,Vaclav,,Praha 1,50.09165,14.43075,Entire home/apt,1299,3,4,2019-07-16,0.10,34,70
12596804,sunny room in charming neighborhood,6249827,Anna,,Praha 2,50.06924,14.43381,Private room,638,1,2,2016-08-15,0.05,1,0
12599231,Excellent views and chic distict,32658262,Jana,,Praha 3,50.07953,14.45364,Entire home/apt,1110,3,191,2019-09-12,4.69,10,310
12600643,Modern apartment in New Town,9550037,Alex And Tanya,,Praha 2,50.07729,14.42271,Entire home/apt,2527,2,34,2019-07-05,0.83,91,348
12604468,★Modern apartment & amazing view!,19063050,Lukas,,Praha 10,50.07821,14.48343,Entire home/apt,898,2,4,2019-04-21,0.23,3,7
